Pokemon_1,Pokemon_2,Winner
Jellicent,Wynaut,Jellicent
AggronMega Aggron,Helioptile,AggronMega Aggron
Dedenne,MawileMega Mawile,MawileMega Mawile
Lombre,Palkia,Palkia
Excadrill,Blitzle,Excadrill
Lucario,Cacturne,Lucario
Marill,Sandslash,Sandslash
Spheal,Lanturn,Lanturn
Hippopotas,Fraxure,Fraxure
Poliwhirl,Mienshao,Mienshao
Jolteon,Ducklett,Jolteon
Drilbur,Swellow,Swellow
Phanpy,Florges,Florges
Honchkrow,Combee,Honchkrow
DarmanitanZen Mode,Hydreigon,Hydreigon
Steelix,Lillipup,Steelix
Electrode,Charmander,Electrode
Throh,Krabby,Throh
Goomy,Tentacruel,Tentacruel
Trapinch,Umbreon,Umbreon
Chingling,GyaradosMega Gyarados,GyaradosMega Gyarados
Kadabra,Omastar,Omastar
MewtwoMega Mewtwo Y,Koffing,MewtwoMega Mewtwo Y
Floette,Amoonguss,Floette
Bayleef,Mr. Mime,Mr. Mime
Garbodor,Tympole,Garbodor
PinsirMega Pinsir,Emboar,Emboar
Goldeen,Arceus,Arceus
Diglett,Pyroar,Pyroar
Alomomola,VenusaurMega Venusaur,VenusaurMega Venusaur
Ponyta,Machoke,Ponyta
Golem,Goldeen,Golem
Walrein,Pidove,Walrein
Sewaddle,Aggron,Aggron
Wurmple,KyogrePrimal Kyogre,KyogrePrimal Kyogre
Simipour,Diancie,Simipour
Suicune,BeedrillMega Beedrill,BeedrillMega Beedrill
Pidgeot,Typhlosion,Typhlosion
Drifloon,RotomHeat Rotom,RotomHeat Rotom
Azurill,Fennekin,Fennekin
KyogrePrimal Kyogre,Slowking,KyogrePrimal Kyogre
Venonat,Butterfree,Butterfree
Quilava,Kricketot,Quilava
Magneton,Stoutland,Stoutland
Volcarona,Staryu,Volcarona
Vaporeon,Slurpuff,Slurpuff
Castform,Mudkip,Castform
Entei,Sandile,Entei
Quilava,Sharpedo,Sharpedo
Magby,Jynx,Jynx
Celebi,Maractus,Celebi
Walrein,Volbeat,Walrein
Haxorus,RotomFrost Rotom,Haxorus
Furret,Grumpig,Grumpig
Fraxure,Spinarak,Fraxure
Fennekin,Kricketune,Kricketune
Cradily,Delibird,Cradily
Gigalith,Tepig,Gigalith
Castform,Venipede,Castform
Clamperl,Muk,Muk
Carvanha,Klefki,Klefki
Larvesta,Granbull,Granbull
Croagunk,Lilligant,Lilligant
Mawile,MedichamMega Medicham,MedichamMega Medicham
MeowsticFemale,Cofagrigus,MeowsticFemale
Seedot,Kingdra,Kingdra
Surskit,LatiasMega Latias,LatiasMega Latias
Turtwig,Seadra,Seadra
Tangela,Feraligatr,Feraligatr
Happiny,Moltres,Moltres
Zigzagoon,Carvanha,Carvanha
Diggersby,Gastrodon,Gastrodon
BlastoiseMega Blastoise,Lilligant,BlastoiseMega Blastoise
Nidoqueen,CameruptMega Camerupt,Nidoqueen
Pineco,Huntail,Huntail
AlakazamMega Alakazam,Litleo,AlakazamMega Alakazam
Drifblim,Nuzleaf,Drifblim
Kakuna,Yveltal,Yveltal
Raikou,Buizel,Raikou
Farfetch'd,Alomomola,Alomomola
Shuppet,Trevenant,Trevenant
Archeops,Crobat,Crobat
Banette,Blitzle,Banette
Shelmet,Delibird,Delibird
Druddigon,Pidgeot,Pidgeot
Magnemite,Dialga,Dialga
Persian,Golurk,Golurk
DiancieMega Diancie,Chatot,DiancieMega Diancie
Salamence,Cascoon,Salamence
Unown,Salamence,Salamence
Girafarig,Sandslash,Girafarig
Greninja,Lombre,Greninja
Combusken,Sudowoodo,Combusken
Fraxure,Vaporeon,Fraxure
Parasect,Croconaw,Croconaw
Amaura,Lapras,Lapras
Weezing,Excadrill,Excadrill
Oshawott,Ponyta,Ponyta
Abomasnow,Purrloin,Abomasnow
Umbreon,Zangoose,Zangoose
Natu,Latios,Latios
Absol,Malamar,Malamar
Medicham,Wingull,Medicham
Hydreigon,Doduo,Hydreigon
Krookodile,Tranquill,Krookodile
Pidgey,Mareep,Mareep
Eelektross,Weezing,Weezing
Diancie,Gardevoir,Gardevoir
Caterpie,Croconaw,Croconaw
Dodrio,Exeggcute,Dodrio
Noibat,Klink,Klink
SceptileMega Sceptile,Slakoth,SceptileMega Sceptile
Boldore,Dunsparce,Dunsparce
Kadabra,Lugia,Lugia
Luvdisc,Ninjask,Ninjask
Pidove,Umbreon,Umbreon
Donphan,Klang,Klang
Probopass,Trapinch,Probopass
Chatot,Munchlax,Chatot
Manectric,Nuzleaf,Manectric
Vibrava,Weezing,Weezing
Karrablast,Malamar,Malamar
MeloettaAria Forme,Garchomp,Garchomp
GiratinaOrigin Forme,Xerneas,Xerneas
Skarmory,Cresselia,Cresselia
Carnivine,Talonflame,Talonflame
Xatu,KeldeoOrdinary Forme,KeldeoOrdinary Forme
Chingling,Beartic,Beartic
Elekid,MewtwoMega Mewtwo X,MewtwoMega Mewtwo X
Aron,Kricketot,Aron
Ducklett,Kricketune,Kricketune
Charmeleon,Carnivine,Charmeleon
Gogoat,Emboar,Emboar
MewtwoMega Mewtwo Y,HoopaHoopa Unbound,HoopaHoopa Unbound
Zubat,Malamar,Malamar
Escavalier,Reshiram,Reshiram
Dratini,Azelf,Azelf
Kabutops,Dunsparce,Kabutops
Carvanha,Jolteon,Jolteon
Metapod,Ferroseed,Ferroseed
Drowzee,Ferroseed,Ferroseed
AudinoMega Audino,Ferrothorn,Ferrothorn
Mismagius,Cradily,Cradily
Dratini,Herdier,Herdier
Ivysaur,Skuntank,Skuntank
Kricketune,Meganium,Meganium
Hoothoot,Treecko,Treecko
Doduo,Braixen,Braixen
Heliolisk,WormadamPlant Cloak,Heliolisk
MawileMega Mawile,Bastiodon,MawileMega Mawile
Luvdisc,Azurill,Luvdisc
Gulpin,Plusle,Plusle
Yanma,Ambipom,Ambipom
Klefki,Boldore,Klefki
Abomasnow,GroudonPrimal Groudon,GroudonPrimal Groudon
Flabébé,Rattata,Rattata
Kirlia,Zorua,Zorua
TornadusIncarnate Forme,Scrafty,TornadusIncarnate Forme
Bidoof,Drifloon,Drifloon
Smoochum,BeedrillMega Beedrill,BeedrillMega Beedrill
Baltoy,Basculin,Basculin
Deerling,Grotle,Grotle
Shuppet,Slaking,Slaking
Skarmory,GourgeistSuper Size,Skarmory
Typhlosion,Togepi,Typhlosion
Amoonguss,Sentret,Amoonguss
Fraxure,HoundoomMega Houndoom,HoundoomMega Houndoom
Golurk,Amaura,Golurk
Ivysaur,CameruptMega Camerupt,CameruptMega Camerupt
Malamar,Talonflame,Talonflame
ThundurusTherian Forme,VenusaurMega Venusaur,ThundurusTherian Forme
Elgyem,Mandibuzz,Mandibuzz
Mareep,GroudonPrimal Groudon,GroudonPrimal Groudon
Ralts,Rattata,Rattata
Kingler,Gulpin,Kingler
Machamp,Sylveon,Sylveon
Tentacool,Squirtle,Squirtle
Whismur,Starly,Starly
Purugly,Mightyena,Purugly
Beartic,Bulbasaur,Beartic
Scatterbug,Cacturne,Cacturne
Xatu,Probopass,Probopass
Excadrill,ScizorMega Scizor,ScizorMega Scizor
Azelf,Vibrava,Azelf
Politoed,Cloyster,Politoed
Reuniclus,Mothim,Mothim
ThundurusIncarnate Forme,Slowbro,ThundurusIncarnate Forme
Noctowl,Exeggutor,Exeggutor
Electabuzz,Houndoom,Electabuzz
Florges,Zweilous,Florges
RotomFan Rotom,Bisharp,Bisharp
Scraggy,Arcanine,Arcanine
Dragalge,Heracross,Heracross
HoopaHoopa Confined,Regirock,HoopaHoopa Confined
Meganium,PumpkabooSmall Size,Meganium
PumpkabooSmall Size,Scolipede,Scolipede
Spewpa,Quagsire,Quagsire
Tangrowth,Cascoon,Tangrowth
Regigigas,LatiasMega Latias,LatiasMega Latias
Nidorino,Dunsparce,Nidorino
Munna,LatiosMega Latios,LatiosMega Latios
AegislashShield Forme,Nidorino,AegislashShield Forme
Slurpuff,Rotom,Rotom
Granbull,Gigalith,Granbull
Latias,SceptileMega Sceptile,SceptileMega Sceptile
Rufflet,Heracross,Heracross
Klinklang,Dratini,Klinklang
MewtwoMega Mewtwo Y,Gorebyss,MewtwoMega Mewtwo Y
Gastrodon,KyogrePrimal Kyogre,KyogrePrimal Kyogre
MawileMega Mawile,Haunter,Haunter
Larvitar,Gallade,Gallade
Bastiodon,Uxie,Uxie
Inkay,Stunky,Stunky
Seviper,Trubbish,Seviper
Oshawott,Stoutland,Stoutland
Kingler,Marowak,Kingler
Kyogre,Venipede,Kyogre
Surskit,Skarmory,Skarmory
Zekrom,Pichu,Zekrom
Yveltal,Mienfoo,Yveltal
Ampharos,Honchkrow,Honchkrow
KeldeoResolute Forme,Shedinja,KeldeoResolute Forme
Gallade,Kecleon,Gallade
TyranitarMega Tyranitar,Bagon,TyranitarMega Tyranitar
WormadamPlant Cloak,Bayleef,Bayleef
Stoutland,Mudkip,Stoutland
Foongus,Staravia,Staravia
Ambipom,Genesect,Genesect
Hariyama,AbomasnowMega Abomasnow,Hariyama
Heatran,Omastar,Heatran
Venonat,Sylveon,Sylveon
Mesprit,Smeargle,Mesprit
Shedinja,Whismur,Whismur
Bagon,Zapdos,Zapdos
Barboach,Clamperl,Clamperl
Tangela,Sableye,Tangela
Zweilous,Escavalier,Zweilous
Combusken,Lopunny,Lopunny
Swanna,Blissey,Swanna
Chimchar,Mienfoo,Mienfoo
Chandelure,Corsola,Chandelure
Quilava,Darumaka,Darumaka
Bayleef,Uxie,Uxie
Diggersby,Voltorb,Voltorb
Clamperl,Binacle,Binacle
Wailord,Braviary,Braviary
PinsirMega Pinsir,Mienfoo,PinsirMega Pinsir
Oddish,Beedrill,Beedrill
Pikachu,RotomMow Rotom,RotomMow Rotom
Tynamo,GyaradosMega Gyarados,GyaradosMega Gyarados
HeracrossMega Heracross,PinsirMega Pinsir,PinsirMega Pinsir
Miltank,Arbok,Arbok
Slakoth,Nidoran♀,Nidoran♀
Azurill,Diglett,Diglett
Lapras,Walrein,Walrein
Ponyta,GarchompMega Garchomp,GarchompMega Garchomp
Cottonee,Staravia,Staravia
Charmander,DeoxysAttack Forme,DeoxysAttack Forme
Bronzor,Ninjask,Ninjask
Amaura,Kyurem,Kyurem
Marowak,Whiscash,Whiscash
Corsola,Aromatisse,Aromatisse
Teddiursa,Remoraid,Remoraid
Raticate,Cryogonal,Cryogonal
Suicune,BlastoiseMega Blastoise,BlastoiseMega Blastoise
BeedrillMega Beedrill,Simisear,BeedrillMega Beedrill
DeoxysDefense Forme,Vullaby,DeoxysDefense Forme
Nuzleaf,Heracross,Heracross
Cascoon,Metapod,Metapod
Swablu,Galvantula,Galvantula
Spritzee,Delcatty,Delcatty
Bellsprout,Barboach,Barboach
Swadloon,Regigigas,Regigigas
GardevoirMega Gardevoir,Electivire,Electivire
Machamp,Cofagrigus,Cofagrigus
Cinccino,GyaradosMega Gyarados,GyaradosMega Gyarados
Cacturne,Cubone,Cacturne
Larvitar,Cleffa,Larvitar
PidgeotMega Pidgeot,Gallade,PidgeotMega Pidgeot
Registeel,Wartortle,Registeel
Greninja,GyaradosMega Gyarados,GyaradosMega Gyarados
Poochyena,Litwick,Poochyena
Weedle,Combusken,Combusken
Swanna,Turtwig,Swanna
Staravia,AbsolMega Absol,AbsolMega Absol
Spritzee,Yveltal,Yveltal
Pineco,Plusle,Plusle
Shuckle,Spinarak,Shuckle
Numel,Poliwrath,Poliwrath
Nincada,Drilbur,Drilbur
Audino,Beheeyem,Audino
Goodra,Omastar,Goodra
Wingull,Zangoose,Zangoose
AegislashShield Forme,Marowak,AegislashShield Forme
Fletchling,Drifloon,Drifloon
Magmar,Poliwrath,Poliwrath
Swellow,Rotom,Rotom
Gallade,Magcargo,Magcargo
Lampent,Wartortle,Wartortle
MeowsticMale,BlastoiseMega Blastoise,BlastoiseMega Blastoise
Lickitung,Poliwrath,Poliwrath
Seel,Natu,Natu
Krokorok,Croagunk,Krokorok
Vaporeon,Arcanine,Arcanine
CameruptMega Camerupt,Dialga,Dialga
Jellicent,Drowzee,Jellicent
Phanpy,Flareon,Flareon
AbomasnowMega Abomasnow,CharizardMega Charizard X,CharizardMega Charizard X
Psyduck,Exeggcute,Psyduck
GalladeMega Gallade,Talonflame,Talonflame
SceptileMega Sceptile,Sandslash,SceptileMega Sceptile
MeloettaPirouette Forme,Skiddo,MeloettaPirouette Forme
Eelektross,Mesprit,Mesprit
Porygon2,Weepinbell,Porygon2
Blaziken,Swinub,Blaziken
Torchic,Huntail,Huntail
Exploud,DeoxysSpeed Forme,DeoxysSpeed Forme
Onix,Dragalge,Dragalge
GroudonPrimal Groudon,Bagon,GroudonPrimal Groudon
Snivy,Onix,Onix
Mandibuzz,Togepi,Mandibuzz
Shellos,Blitzle,Blitzle
GalladeMega Gallade,BlazikenMega Blaziken,GalladeMega Gallade
Chinchou,Nosepass,Nosepass
Panpour,Kadabra,Kadabra
Krabby,Charizard,Charizard
KangaskhanMega Kangaskhan,Monferno,KangaskhanMega Kangaskhan
Growlithe,Durant,Durant
Kecleon,Elgyem,Kecleon
Abra,SlowbroMega Slowbro,SlowbroMega Slowbro
Salamence,Gliscor,Salamence
PidgeotMega Pidgeot,Chimchar,PidgeotMega Pidgeot
Totodile,Sunkern,Totodile
Grovyle,Azumarill,Grovyle
Pignite,Arbok,Arbok
Chesnaught,Luxray,Luxray
Geodude,Dewgong,Dewgong
Fearow,Golurk,Golurk
Rattata,Blaziken,Blaziken
Bergmite,Staravia,Staravia
Raikou,Hippopotas,Raikou
Drapion,Absol,Drapion
Scyther,Dewott,Scyther
Dragonair,Zebstrika,Zebstrika
Suicune,Mienfoo,Suicune
Gallade,Smoochum,Gallade
Liepard,MetagrossMega Metagross,MetagrossMega Metagross
Dugtrio,Regirock,Regirock
Bulbasaur,Cryogonal,Cryogonal
Tirtouga,Silcoon,Tirtouga
Drifloon,Carbink,Carbink
Lairon,Seviper,Seviper
Zygarde50% Forme,Haxorus,Haxorus
Nidoran♀,Darkrai,Darkrai
Azurill,Mesprit,Mesprit
Oddish,Skorupi,Skorupi
Gastrodon,Minun,Minun
ThundurusTherian Forme,Moltres,Moltres
AltariaMega Altaria,Starly,AltariaMega Altaria
Hitmonchan,Bisharp,Hitmonchan
Ponyta,Weavile,Weavile
Makuhita,Larvitar,Larvitar
ShayminLand Forme,Cacnea,ShayminLand Forme
Chikorita,Combee,Chikorita
Druddigon,Cryogonal,Cryogonal
Munchlax,Entei,Entei
WormadamSandy Cloak,Dragonair,Dragonair
Luxio,Wailord,Wailord
Vigoroth,HoundoomMega Houndoom,HoundoomMega Houndoom
Torterra,AegislashShield Forme,AegislashShield Forme
RayquazaMega Rayquaza,Bulbasaur,RayquazaMega Rayquaza
Glalie,Hoothoot,Glalie
Vanillish,AltariaMega Altaria,AltariaMega Altaria
Hydreigon,Beartic,Beartic
Gigalith,Sandslash,Sandslash
Swablu,Herdier,Herdier
Doduo,Golduck,Golduck
Sliggoo,Cobalion,Cobalion
Venipede,Dratini,Venipede
Volcanion,RotomWash Rotom,RotomWash Rotom
Espurr,Torterra,Torterra
Mightyena,Solosis,Mightyena
Frogadier,Kabutops,Kabutops
Elekid,HeracrossMega Heracross,HeracrossMega Heracross
Arcanine,Sealeo,Arcanine
Phanpy,Wobbuffet,Wobbuffet
Cacnea,Solosis,Solosis
Klinklang,RotomMow Rotom,Klinklang
Frogadier,Spiritomb,Spiritomb
Geodude,Charmander,Charmander
BlastoiseMega Blastoise,Dugtrio,BlastoiseMega Blastoise
Azumarill,Joltik,Azumarill
Slowking,Huntail,Huntail
Vivillon,Musharna,Musharna
Kingdra,Minccino,Kingdra
Chansey,Shellder,Chansey
Poochyena,Spinda,Spinda
Fennekin,Avalugg,Avalugg
Meganium,Zweilous,Zweilous
Vibrava,Shelgon,Vibrava
Venipede,Zorua,Zorua
Virizion,Torterra,Torterra
Glalie,Mareep,Glalie
Corsola,Patrat,Corsola
ManectricMega Manectric,Klefki,ManectricMega Manectric
PumpkabooSmall Size,Swirlix,Swirlix
Machoke,Oshawott,Machoke
Petilil,Prinplup,Prinplup
Palpitoad,Basculin,Basculin
Treecko,Hydreigon,Hydreigon
RayquazaMega Rayquaza,Jynx,RayquazaMega Rayquaza
KeldeoResolute Forme,Regigigas,KeldeoResolute Forme
Tyrunt,Tirtouga,Tirtouga
Mudkip,Metang,Metang
Gogoat,Mantine,Mantine
SlowbroMega Slowbro,Tranquill,SlowbroMega Slowbro
Baltoy,Electrode,Electrode
Exeggutor,Grumpig,Grumpig
Chatot,Probopass,Probopass
Ursaring,KyuremWhite Kyurem,KyuremWhite Kyurem
Beedrill,Dratini,Beedrill
Marshtomp,Deino,Marshtomp
Ursaring,Ponyta,Ponyta
Dewott,Sharpedo,Sharpedo
GourgeistLarge Size,LucarioMega Lucario,LucarioMega Lucario
Monferno,Vileplume,Monferno
Lampent,PumpkabooLarge Size,Lampent
Simipour,Swadloon,Simipour
AggronMega Aggron,Wailmer,AggronMega Aggron
Pyroar,Carracosta,Carracosta
Flaaffy,Entei,Entei
Drilbur,Whimsicott,Whimsicott
Mewtwo,Crustle,Mewtwo
Carvanha,Hitmonchan,Hitmonchan
Spearow,Ralts,Spearow
Lanturn,MeowsticMale,MeowsticMale
Litleo,Cryogonal,Cryogonal
Vibrava,Florges,Florges
SlowbroMega Slowbro,Voltorb,SlowbroMega Slowbro
Pachirisu,Accelgor,Accelgor
Delcatty,Cresselia,Cresselia
Clamperl,Oddish,Clamperl
Bunnelby,Pidgeot,Pidgeot
Baltoy,Barboach,Barboach
AlakazamMega Alakazam,PidgeotMega Pidgeot,AlakazamMega Alakazam
Rapidash,Baltoy,Rapidash
SharpedoMega Sharpedo,Poliwrath,Poliwrath
Parasect,Weedle,Parasect
Ho-oh,Sliggoo,Ho-oh
Croconaw,Makuhita,Croconaw
Rampardos,MeloettaAria Forme,MeloettaAria Forme
Illumise,Duskull,Illumise
Reshiram,Solosis,Reshiram
Mantyke,Cubone,Mantyke
SharpedoMega Sharpedo,Metapod,SharpedoMega Sharpedo
Bibarel,Venipede,Bibarel
Seadra,Skuntank,Skuntank
Stoutland,Grumpig,Grumpig
Timburr,BlastoiseMega Blastoise,BlastoiseMega Blastoise
Sandslash,Beartic,Sandslash
Pancham,Cresselia,Cresselia
Machoke,Karrablast,Karrablast
Abomasnow,Gothita,Abomasnow
Kabuto,Heliolisk,Heliolisk
Probopass,SalamenceMega Salamence,SalamenceMega Salamence
RotomHeat Rotom,Marill,RotomHeat Rotom
Wailord,Mesprit,Mesprit
WormadamTrash Cloak,Clamperl,WormadamTrash Cloak
Trubbish,Spearow,Spearow
Volbeat,Wobbuffet,Volbeat
Rufflet,Spritzee,Spritzee
Dwebble,Bellossom,Bellossom
Sliggoo,Braixen,Braixen
KeldeoResolute Forme,Ninjask,Ninjask
Meowth,GiratinaAltered Forme,GiratinaAltered Forme
TyranitarMega Tyranitar,Gothita,TyranitarMega Tyranitar
Riolu,Aromatisse,Aromatisse
Voltorb,LatiosMega Latios,LatiosMega Latios
Krabby,Azelf,Azelf
Dratini,Purrloin,Purrloin
Slowpoke,Mr. Mime,Mr. Mime
Rhyhorn,Zygarde50% Forme,Zygarde50% Forme
Geodude,Phantump,Phantump
Torchic,Cottonee,Cottonee
Dewgong,Trevenant,Trevenant
Parasect,WormadamPlant Cloak,WormadamPlant Cloak
Mr. Mime,Gardevoir,Mr. Mime
Kyogre,Luvdisc,Kyogre
Vespiquen,Foongus,Vespiquen
PumpkabooSuper Size,Mime Jr.,Mime Jr.
Mienfoo,Archen,Archen
Mienshao,Metapod,Mienshao
Diglett,Maractus,Maractus
PidgeotMega Pidgeot,Murkrow,PidgeotMega Pidgeot
Nidorina,Reshiram,Reshiram
Staravia,Roggenrola,Roggenrola
Minccino,Luxio,Luxio
Swalot,Emolga,Emolga
Beldum,Venipede,Venipede
Ponyta,Barboach,Ponyta
Kadabra,Probopass,Probopass
LucarioMega Lucario,Yanmega,Yanmega
Jolteon,Delphox,Delphox
Skrelp,LandorusIncarnate Forme,LandorusIncarnate Forme
Nidoran♀,Marill,Nidoran♀
Shieldon,Charmander,Charmander
Glameow,Rapidash,Rapidash
Roselia,Dusknoir,Dusknoir
Politoed,Simipour,Simipour
Zygarde50% Forme,Noctowl,Zygarde50% Forme
TornadusIncarnate Forme,Watchog,TornadusIncarnate Forme
MetagrossMega Metagross,Relicanth,MetagrossMega Metagross
Spinda,Chandelure,Chandelure
Trapinch,HoopaHoopa Confined,HoopaHoopa Confined
AbomasnowMega Abomasnow,Munchlax,AbomasnowMega Abomasnow
Dratini,Zapdos,Zapdos
DiancieMega Diancie,Cottonee,DiancieMega Diancie
Greninja,Cherubi,Greninja
Golett,PumpkabooAverage Size,PumpkabooAverage Size
SteelixMega Steelix,CharizardMega Charizard X,CharizardMega Charizard X
PumpkabooSuper Size,Whirlipede,Whirlipede
Zigzagoon,Venomoth,Venomoth
SlowbroMega Slowbro,Sandile,SlowbroMega Slowbro
Kricketune,Luxio,Kricketune
Abomasnow,Magneton,Magneton
BeedrillMega Beedrill,Tyrogue,BeedrillMega Beedrill
Jynx,Luxray,Luxray
Trubbish,TyranitarMega Tyranitar,TyranitarMega Tyranitar
Scolipede,Mewtwo,Mewtwo
Wailmer,Grumpig,Grumpig
Caterpie,Tyrantrum,Tyrantrum
Poochyena,Duskull,Duskull
MeloettaAria Forme,Dwebble,MeloettaAria Forme
Diglett,DarmanitanStandard Mode,DarmanitanStandard Mode
Charizard,Banette,Charizard
Machop,AerodactylMega Aerodactyl,AerodactylMega Aerodactyl
Marill,Lombre,Lombre
Alomomola,Roselia,Alomomola
Luxio,Archen,Archen
Dunsparce,Bibarel,Bibarel
Nuzleaf,Wobbuffet,Wobbuffet
Slowbro,Bibarel,Bibarel
Tentacool,Regice,Regice
Flareon,Ambipom,Ambipom
Drifloon,Charmeleon,Charmeleon
Magnemite,LatiosMega Latios,LatiosMega Latios
Sewaddle,Spoink,Spoink
Litleo,Tyrunt,Tyrunt
GalladeMega Gallade,Ledian,GalladeMega Gallade
KyuremBlack Kyurem,AbsolMega Absol,AbsolMega Absol
Carracosta,Rufflet,Carracosta
Pancham,Oshawott,Oshawott
Goodra,Meditite,Goodra
Diancie,Slugma,Diancie
Breloom,Manectric,Manectric
DiancieMega Diancie,Swinub,DiancieMega Diancie
AggronMega Aggron,Bergmite,AggronMega Aggron
Turtwig,Kabutops,Kabutops
Cradily,Sylveon,Sylveon
Mantyke,Sliggoo,Sliggoo
Eelektross,Beedrill,Eelektross
Slowpoke,Hoothoot,Hoothoot
PumpkabooSuper Size,Skiploom,Skiploom
Eevee,Krabby,Eevee
Vespiquen,Entei,Entei
Volcarona,Pelipper,Pelipper
Snover,Mawile,Mawile
Phione,Machop,Phione
Mamoswine,Honchkrow,Honchkrow
Vulpix,DarmanitanZen Mode,DarmanitanZen Mode
WormadamTrash Cloak,Chingling,WormadamTrash Cloak
Panpour,Ferroseed,Ferroseed
Dratini,Ariados,Ariados
Onix,Riolu,Onix
SalamenceMega Salamence,Unown,SalamenceMega Salamence
Roselia,Bidoof,Roselia
Poliwrath,Kricketot,Poliwrath
Luxray,Rapidash,Rapidash
AbomasnowMega Abomasnow,Pidgeotto,AbomasnowMega Abomasnow
Breloom,Litleo,Litleo
Budew,Venonat,Venonat
MeloettaAria Forme,Gastrodon,MeloettaAria Forme
Pelipper,Basculin,Basculin
Skorupi,Seviper,Seviper
Delphox,Machop,Delphox
Ledian,Manaphy,Manaphy
Moltres,Skitty,Moltres
Lanturn,Tynamo,Lanturn
Snorunt,MewtwoMega Mewtwo Y,MewtwoMega Mewtwo Y
Rayquaza,Gastly,Rayquaza
Chimchar,Pelipper,Pelipper
Dewott,Caterpie,Dewott
TyranitarMega Tyranitar,Slugma,TyranitarMega Tyranitar
Aromatisse,Darkrai,Darkrai
Pikachu,HeracrossMega Heracross,HeracrossMega Heracross
PumpkabooSmall Size,RotomFrost Rotom,RotomFrost Rotom
Weepinbell,Emboar,Emboar
RotomHeat Rotom,Snivy,RotomHeat Rotom
Bronzong,Onix,Onix
Kangaskhan,Sceptile,Sceptile
Arbok,Registeel,Registeel
Kricketot,Throh,Throh
RotomMow Rotom,Volbeat,RotomMow Rotom
Gible,Chimchar,Chimchar
Gible,LucarioMega Lucario,LucarioMega Lucario
Seismitoad,Krokorok,Seismitoad
Marowak,DeoxysDefense Forme,DeoxysDefense Forme
Munchlax,DeoxysSpeed Forme,DeoxysSpeed Forme
Staravia,Abomasnow,Abomasnow
Politoed,Ditto,Politoed
CharizardMega Charizard X,Victini,Victini
Pansage,Manectric,Manectric
Beheeyem,Kakuna,Beheeyem
Whiscash,Flygon,Flygon
GourgeistAverage Size,Raichu,Raichu
Arceus,GarchompMega Garchomp,Arceus
TornadusTherian Forme,Machamp,TornadusTherian Forme
Serperior,Mienshao,Mienshao
Slugma,Arcanine,Arcanine
Persian,Simisage,Persian
Kirlia,Leafeon,Leafeon
Blissey,Mightyena,Mightyena
Silcoon,Zweilous,Zweilous
Walrein,Empoleon,Empoleon
Omanyte,TornadusIncarnate Forme,TornadusIncarnate Forme
Slowking,Avalugg,Slowking
HoundoomMega Houndoom,Pidgeot,HoundoomMega Houndoom
Natu,Shellos,Natu
Butterfree,KyogrePrimal Kyogre,KyogrePrimal Kyogre
Slugma,Espurr,Espurr
Rampardos,AltariaMega Altaria,AltariaMega Altaria
Moltres,Rhydon,Rhydon
Cloyster,Sigilyph,Sigilyph
Drowzee,Exeggutor,Exeggutor
Lopunny,MeloettaPirouette Forme,MeloettaPirouette Forme
Dunsparce,Sneasel,Sneasel
Chikorita,Raichu,Raichu
Leavanny,Ledyba,Leavanny
Vanilluxe,Larvesta,Vanilluxe
Skiploom,Tentacruel,Tentacruel
PidgeotMega Pidgeot,PumpkabooSuper Size,PidgeotMega Pidgeot
Carbink,Sigilyph,Sigilyph
Muk,Sentret,Muk
LopunnyMega Lopunny,Magikarp,LopunnyMega Lopunny
Jumpluff,Empoleon,Empoleon
Glameow,Slaking,Slaking
BeedrillMega Beedrill,Ledyba,BeedrillMega Beedrill
Zygarde50% Forme,Victreebel,Victreebel
Ralts,Slowking,Slowking
Sneasel,Drapion,Drapion
KyogrePrimal Kyogre,Mandibuzz,KyogrePrimal Kyogre
Buizel,Maractus,Maractus
Ivysaur,Clawitzer,Ivysaur
Pansage,AegislashShield Forme,AegislashShield Forme
ManectricMega Manectric,Scolipede,ManectricMega Manectric
Magcargo,Hydreigon,Hydreigon
Nuzleaf,Hippowdon,Hippowdon
Golduck,Yanmega,Yanmega
Phantump,Omanyte,Phantump
Croagunk,Phantump,Phantump
Porygon-Z,Regirock,Regirock
Hitmonchan,Beldum,Hitmonchan
Cleffa,Medicham,Medicham
Combee,Blaziken,Blaziken
Chesnaught,Sneasel,Sneasel
Crustle,Arceus,Arceus
Roggenrola,Monferno,Monferno
Wooper,Litleo,Litleo
Cradily,Xatu,Xatu
Hydreigon,Watchog,Hydreigon
Shroomish,Scrafty,Scrafty
Shellder,Mantine,Mantine
Stunky,Darumaka,Stunky
Tropius,Boldore,Tropius
Kingdra,Wailord,Wailord
MeloettaAria Forme,Pyroar,Pyroar
Piplup,Tangrowth,Tangrowth
Furfrou,Diggersby,Furfrou
Snubbull,Yamask,Yamask
LandorusTherian Forme,Trevenant,LandorusTherian Forme
Carvanha,Farfetch'd,Carvanha
Buizel,Haunter,Haunter
Torkoal,Abomasnow,Abomasnow
Grotle,Gliscor,Gliscor
Abra,Wurmple,Abra
Whimsicott,Vigoroth,Vigoroth
Qwilfish,Delibird,Qwilfish
Bouffalant,Litwick,Bouffalant
Cherubi,AegislashBlade Forme,AegislashBlade Forme
Empoleon,Klang,Klang
Nuzleaf,Munna,Munna
Flaaffy,GlalieMega Glalie,GlalieMega Glalie
Houndoom,Volcanion,Volcanion
